Call Sign,Call Sign.1,Vessel Name,Ship Type,Flag,Vessel Max Draft,Last Port,Next Port,Current Location,Enter Location,Exit Location,IMO,Berth,ATA,EDT,ADT,ETA,WaitingTime,MaxDraft,MaxLOA,BerthLength,ATA_day_Friday,ATA_day_Monday,ATA_day_Saturday,ATA_day_Sunday,ATA_day_Thursday,ATA_day_Tuesday,ATA_day_Wednesday,EDT_day_Friday,EDT_day_Monday,EDT_day_Saturday,EDT_day_Sunday,EDT_day_Thursday,EDT_day_Tuesday,EDT_day_Wednesday,ATA_shift,EDT_shift,ATA_season_autumn,ATA_season_spring,ATA_season_summer,ATA_season_winter,EDT_season_autumn,EDT_season_spring,EDT_season_summer,EDT_season_winter,ATA_inport,Length,Gross Tonnage,Breadth,ATA_berth_delay
BOEF2,BOEF2,TAI HANG 3,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHR,7.3,"YANGJIANG, GD","OTHER, INDONESIA",SWLA,,,9128257,SWLA,2024-07-13 20:28:00,2024-07-13 23:00:00,2024-07-14 02:44:00,2024-07-13 20:28:00,6.266666666666667,7.5,400.0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,3,3,False,False,True,False,False,False,True,False,9,224.0,38520.0,32.0,3.7333333333333334
3E4974,3E4974,MUMBAI,"TANKER (CRUDE,FUEL,DIESEL,LUB)",PAN,8.0,ZHOUSHAN,LAE,SLA,,,9242338,SLA,2023-11-03 00:00:00,2023-11-03 08:00:00,2023-11-03 11:40:00,2023-11-03 00:00:00,11.666666666666666,7.5,400.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,1,2,True,False,False,False,True,False,False,False,5,183.0,29244.0,32.0,3.6666666666666665
C6GD7,C6GD7,CMA CGM PUERTO ANTIOQUIA,CONTAINER,BAH,8.2,"SHEKOU, SHENZHEN","SHEKOU, SHENZHEN",KC13,TSK,WL,9275050,KC13,2023-11-03 14:30:00,2023-11-04 01:00:00,2023-11-04 06:40:00,2023-11-03 14:30:00,16.166666666666668,15.5,370.0,338.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,2,1,True,False,False,False,True,False,False,False,9,210.0,26833.0,30.0,5.666666666666667
V7A5003,V7A5003,CLIPPER DEE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MAR,10.0,HONGAI,DAVAO,SELA,,,9455923,SWLA,2024-07-03 08:03:00,2024-07-03 18:00:00,2024-07-03 13:51:00,2024-07-03 08:03:00,5.8,7.5,400.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,2,3,False,False,True,False,False,False,True,False,9,176.0,19998.0,27.0,4.15
XVHL7,XVHL7,NEWSUN VISION,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,VNM,10.0,"OTHER, CHINA (COAST)",JEBEL ALI,SELA,,,9300867,SELA,2024-06-21 09:09:00,2024-06-21 15:00:00,2024-06-21 18:21:00,2024-06-21 09:09:00,9.2,7.5,400.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,2,2,False,False,True,False,False,False,True,False,8,178.0,19971.0,28.0,3.35
IBWM,IBWM,MBA FUTURE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,ITL,7.0,"SHANWEI, GD",BALIKPAPAN,SELA,,,9494084,SELA,2023-11-06 01:33:00,2023-11-06 08:00:00,2023-11-06 09:02:00,2023-11-06 01:33:00,7.483333333333333,7.5,400.0,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1,2,True,False,False,False,True,False,False,False,2,228.0,43024.0,32.0,1.0333333333333334
D5UF8,D5UF8,ESL WALRUS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIB,8.5,"OTHER, CHINA (COAST)",OPEN SEA,SWLA,,,9493626,SWLA,2023-11-10 23:12:00,2023-11-11 20:00:00,2023-11-11 14:28:00,2023-11-10 23:12:00,15.266666666666667,7.5,400.0,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,3,3,True,False,False,False,True,False,False,False,3,291.0,91971.0,45.0,5.533333333333333
V7UL7,V7UL7,MARTIN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MAR,13.15,BUENAVENTURA,"FANGCHENG, GX",SWLA,,,9441350,SWLA,2023-11-06 17:08:00,2023-11-06 20:00:00,2023-11-07 22:08:00,2023-11-06 17:08:00,29.0,7.5,400.0,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,3,3,True,False,False,False,True,False,False,False,6,189.0,33045.0,32.0,26.133333333333333
9V7684,9V7684,CHANG HANG GUANG RONG,"TANKER (CRUDE,FUEL,DIESEL,LUB)",SNG,10.8,"ZHENJIANG, JS",SINGAPORE,CTX,,,9344112,SLA,2024-03-03 11:07:00,2024-03-04 10:00:00,2024-03-03 16:05:00,2024-03-03 11:07:00,4.966666666666667,7.5,400.0,0.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,2,2,False,True,False,False,False,True,False,False,7,185.0,29588.0,32.0,17.916666666666668
VRIH5,VRIH5,JOSCO RUNZHOU,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,HKG,8.7,"JINZHOU, HB",HAIPHONG,SELA,,,9459644,SELA,2024-06-22 10:33:00,2024-06-22 18:00:00,2024-06-22 14:29:00,2024-06-22 10:33:00,3.933333333333333,7.5,400.0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,2,3,False,False,True,False,False,False,True,False,7,197.0,33188.0,32.0,3.5166666666666666
